stop_id,day,time
128N,34 St - Penn Station,WKD,81366
128S,34 St - Penn Station,WKD,79224
128N,34 St - Penn Station,WKD,81726
128S,34 St - Penn Station,WKD,79584
128N,34 St - Penn Station,WKD,82086
128S,34 St - Penn Station,WKD,80064
128N,34 St - Penn Station,WKD,82566
128S,34 St - Penn Station,WKD,80544
128N,34 St - Penn Station,WKD,83046
128S,34 St - Penn Station,WKD,81144
128N,34 St - Penn Station,WKD,83616
128S,34 St - Penn Station,WKD,81738
128N,34 St - Penn Station,WKD,84216
128S,34 St - Penn Station,WKD,82338
128N,34 St - Penn Station,WKD,84816
128S,34 St - Penn Station,WKD,82938
128N,34 St - Penn Station,WKD,85416
128S,34 St - Penn Station,WKD,83538
128N,34 St - Penn Station,WKD,86016
128S,34 St - Penn Station,WKD,84138
128N,34 St - Penn Station,WKD,86616
128S,34 St - Penn Station,WKD,84738
128N,34 St - Penn Station,WKD,87216
128S,34 St - Penn Station,WKD,85338
128N,34 St - Penn Station,WKD,87816
128S,34 St - Penn Station,WKD,85998
128N,34 St - Penn Station,WKD,88416
128S,34 St - Penn Station,WKD,86778
128N,34 St - Penn Station,WKD,89172
128S,34 St - Penn Station,WKD,87498
128N,34 St - Penn Station,WKD,89982
128S,34 St - Penn Station,WKD,88218
128N,34 St - Penn Station,WKD,90822
128S,34 St - Penn Station,SAT,2658
128N,34 St - Penn Station,SAT,5322
128S,34 St - Penn Station,SAT,3798
128N,34 St - Penn Station,SAT,6522
128S,34 St - Penn Station,SAT,4998
128N,34 St - Penn Station,SAT,7722
128S,34 St - Penn Station,SAT,6198
128N,34 St - Penn Station,SAT,8922
128S,34 St - Penn Station,SAT,7398
128N,34 St - Penn Station,SAT,10122
128S,34 St - Penn Station,SAT,8598
128N,34 St - Penn Station,SAT,11322
128S,34 St - Penn Station,SAT,9798
128N,34 St - Penn Station,SAT,12522
128S,34 St - Penn Station,SAT,10998
128N,34 St - Penn Station,SAT,13722
128S,34 St - Penn Station,SAT,12198
128N,34 St - Penn Station,SAT,14922
128S,34 St - Penn Station,SAT,13398
128N,34 St - Penn Station,SAT,16122
128S,34 St - Penn Station,SAT,14598
128N,34 St - Penn Station,SAT,17322
128S,34 St - Penn Station,SAT,15798
128N,34 St - Penn Station,SAT,18522
128S,34 St - Penn Station,SAT,16998
128N,34 St - Penn Station,SAT,19722
128S,34 St - Penn Station,SAT,18198
128N,34 St - Penn Station,SAT,20922
128S,34 St - Penn Station,SAT,19398
128N,34 St - Penn Station,SAT,22122
128S,34 St - Penn Station,SAT,20478
128N,34 St - Penn Station,SAT,23046
128S,34 St - Penn Station,SAT,21498
128N,34 St - Penn Station,SAT,23946
128S,34 St - Penn Station,SAT,22158
128N,34 St - Penn Station,SAT,24786
128S,34 St - Penn Station,SAT,22878
128N,34 St - Penn Station,SAT,25506
128S,34 St - Penn Station,SAT,23478
128N,34 St - Penn Station,SAT,26256
128S,34 St - Penn Station,SAT,24078
128N,34 St - Penn Station,SAT,26856
128S,34 St - Penn Station,SAT,24684
128N,34 St - Penn Station,SAT,27456
128S,34 St - Penn Station,SAT,25284
128N,34 St - Penn Station,SAT,27966
128S,34 St - Penn Station,SAT,25764
128N,34 St - Penn Station,SAT,28446
128S,34 St - Penn Station,SAT,26244
128N,34 St - Penn Station,SAT,28926
128S,34 St - Penn Station,SAT,26724
128N,34 St - Penn Station,SAT,29406
128S,34 St - Penn Station,SAT,27204
128N,34 St - Penn Station,SAT,29886
128S,34 St - Penn Station,SAT,27684
128N,34 St - Penn Station,SAT,30366
128S,34 St - Penn Station,SAT,28164
128N,34 St - Penn Station,SAT,30846
128S,34 St - Penn Station,SAT,28644
128N,34 St - Penn Station,SAT,31326
128S,34 St - Penn Station,SAT,29124
128N,34 St - Penn Station,SAT,31806
128S,34 St - Penn Station,SAT,29604
128N,34 St - Penn Station,SAT,32286
128S,34 St - Penn Station,SAT,30084
128N,34 St - Penn Station,SAT,32766
128S,34 St - Penn Station,SAT,30564
128N,34 St - Penn Station,SAT,33246
128S,34 St - Penn Station,SAT,31044
128N,34 St - Penn Station,SAT,33726
128S,34 St - Penn Station,SAT,31524
128N,34 St - Penn Station,SAT,34206
128S,34 St - Penn Station,SAT,32004
128N,34 St - Penn Station,SAT,34686
128S,34 St - Penn Station,SAT,32484
128N,34 St - Penn Station,SAT,35166
128S,34 St - Penn Station,SAT,32964
128N,34 St - Penn Station,SAT,35646
128S,34 St - Penn Station,SAT,33444
128N,34 St - Penn Station,SAT,36126
128S,34 St - Penn Station,SAT,33924
128N,34 St - Penn Station,SAT,36606
128S,34 St - Penn Station,SAT,34404
128N,34 St - Penn Station,SAT,37086
128S,34 St - Penn Station,SAT,34884
128N,34 St - Penn Station,SAT,37566
128S,34 St - Penn Station,SAT,35364
128N,34 St - Penn Station,SAT,38046
128S,34 St - Penn Station,SAT,35844
128N,34 St - Penn Station,SAT,38526
128S,34 St - Penn Station,SAT,36324
128N,34 St - Penn Station,SAT,39006
128S,34 St - Penn Station,SAT,36804
128N,34 St - Penn Station,SAT,39486
128S,34 St - Penn Station,SAT,37284
128N,34 St - Penn Station,SAT,39966
128S,34 St - Penn Station,SAT,37764
128N,34 St - Penn Station,SAT,40446
128S,34 St - Penn Station,SAT,38244
